lemma	lat	eng
doleo	fratris mortem dolet	he lamented the death of his brother
dolor	jūstus mihi dolor est adversus deōs	I have justifiable resentment toward the gods
dolus	magis virtūte quam dolo contendebant	they were fighting with courage more than with trickery
domo	cupiditatem imperiī nōn domuerat	he had not subdued his desire for authority
domesticus	domesticis opibus et externīs auxiliis	with native and foreign resources
dominor	dominari illī volunt, vōs liberi esse	those men want to be your master, you want to be free
dominatio	superba dominātiō tandem oppressa est	finally the tyrannical oppression has ended
dominus	servum hunc dominī pauperis esse apparet	it is clear that the servant belongs to a poor master
domus	domī militiaeque	at home and on a campaign
domus	domum eāmus	let us go home
dono	poēta laurea donatus est	the poet was presented with a laurel garland
donec	dōnec eris fēlīx, multōs numerabis amīcōs	as long as you are successful, you will have many friends
donec	silentium fuit, dōnec cōnsul rediit	there was silence until the consul returned
donum	timeō danaos et dōna ferentes	I fear the Greeks, even bearing gifts
dubito	inter bellum et pācem dubitare	to waver between war and peace
dubito	nōn dubito quīn ad pīsōnem scripserit	I do not doubt that he has written to Piso
dubius	dubius sum, quid faciam	I am not sure what I should do
dubius	dubium nōn est quīn fuerint ante homērum poetae	it is certain that there were poets before Homer
duco	contrā patriam exercitum dūxit	he led the army against the fatherland
duco	dūcunt volentem fāta, nōlentem trahunt	the fates lead the willing, but they drag the unwilling
duco	sermōnibus variīs tempus ducemus	we will spend time on various discussions
duco	eōs idōneōs duximus	we believed them to be suitable
dulcis	misce rē utile dulci	to mix useful with pleasant
dum	dum haec gēruntur, urbs capta est	while these things were done, the city was captured
dum	abeamus, dum sine perīculō licet	let’s get going while it’s still safe
dum	tū, dum redeo, pasce ovēs	graze my sheep until I return
dum	exspectemus, dum veniat	let us wait until he comes
dum	oderint, dum metuant	provided that they are afraid, let them hate
duro	ferrum ictibus duravit	he made the iron hard with blows
duro	tantōs labōrēs dūrāre nōn potuit	he was not able to endure such great toils
duro	ad posteros glōria durabit	his glory will be preserved for posterity
durus	animus agrestis ac dūrus	an uncultured and rough mind
dux	duce āmissō exercitus dīlāpsus est	with the leader lost, the army dispersed
edo	geminum ēdidit partum	she bore twins
edictum	erat ēdictum Pompēī ut omnēs convenirent	there was an edict from Pompeius for all to meet
effero	pūblicō fūnere ēlātus est	he received a public burial
effero	easdem rēs aliīs modīs efferre possumus	we can express the same thing in different ways
effero	summīs laudibus eum extulērunt	they exalted him with the highest praise
efficio	pontem navibus effecit	he built a bridge with ships
efficio	efficiēbat ut commeātūs sine perīculō ad exercitum portārī posset	he brought it about so that the provisions could be carried to the army without danger
effugio	ex urbe effugērunt	they fled from the city
effugio	rēs mē effugit	it escapes me
effundo	omnīs labor effūsus est	every effort has been wasted
effundo	in amōrem sē effundere	to give in to love
egeo	sapiēns eget nūlla rē	the wise man needs nothing
ego	tacete ! plūs ego enim quam vōs intellegō	be silent! for I understand better than you
egredior	eōs ex nāve egredientes conspexērunt	they saw them disembarking from the ship
emo	domum parvo emit	he bought a home for little money
eo	eō descensum erat	it had descended to that point
eo	haec eō scripsi ut venires	I wrote these things with the intention that you would come
eo	quō plūs potestis, eō magis atroces vōs praebetis	the more power you have, the more ferocious you become
epistula	admiratus sum brevitatem epistulae	I was surprised at the brevity of the letter
eques	equus excussit equitem	the horse threw off his rider
equidem	equidem mē caesaris militem dīcī volvī, vōs mē imperātōris nōmine appellavistis	for my part I wished to be called a soldier of Caesar, you have addressed me with the title of commander
equus	equus acer	a fiery horse
ergo	negat haec mē fīliam suam esse, nōn ergō haec māter mea est	she denies that I am her daughter, therefore she is not my mother
eripio	fīlium ā morte ēripuit	he rescued his son from death
eripio	sē hostī fugā eripuērunt	they escaped from the enemy by flight
erro	inter audācēs lupus errat agnōs	a wolf wanders among reckless lambs
erro	errās, sī id crēdis	you are mistaken, if you believe this
error	indūcit imperitos in errōrem	he leads the inexperienced men astray
erumpo	ērūpit cellā jūnōnis major hūmāna speciēs	an image, larger than a human, burst forth from the sanctuary of Juno
etiam	tenēbat nōn modo auctōritātem, sed etiam imperium in suōs	he was holding not only the authority, but also the command over his own people
etsi	etsī aliquā culpā tenemur, ā scelere certē liberati sumus	although we are liable for some fault, we have certainly been absolved from the crime
evado	nimia illa licentia evadet in aliquod magnum mālum	that excessive freedom will result in some great disaster
evado	ē manibus hostium ēvāsit	he escaped from the hands of the enemy
evenio	forte ēvenit ut Rōmae essēmus	it happened by chance that we were in Rome
evenio	sī quid mihi eveniret	if anything should happen to me
e	exibant ex nāve	they disembarked from the ship
e	ex eō tempore	since that time
e	ex hāc maxima lībertāte tyrannis gignitur	as a result of this very great freedom, tyranny arises
exagito	rem pūblicam sēditiōnibus exagitant	they stirred up the republic with insurrections
excedo	ē vītā excedere	to die
excedo	summam octoginta milium excessit	it surpassed a total of 80,000
excipio	excepi dē antiquis praeter xenophontem nēminem	from the ancients I have excluded no one except Xenophon
excipio	aliquem hospitiō excipere	to receive someone with hospitality
excipio	eum īnsidiīs exceptum interfecērunt	they killed him after he was caught by an ambush
excito	dormientes spectatores ē somnō excitavērunt	they roused the dozing spectators from their sleep
excutio	equus excussit equitem	the horse threw off his rider
exemplum	nōbīs exemplō fuit ad imitandum	he was an example for us to imitate
exemplum	parricidii exemplum esse intellegēbat agrippina	Agrippina understood that it was a precedent for the murder of a relative
exerceo	armīs juventūtem exercēre	to train young people in the use of arms
exerceo	ōdium in aliquem exercēre	to direct hatred at someone
exercitus	contrā patriam exercitum dūxit	he led an army against the fatherland
exigo	annō post tarquinios exactos	a year after the Tarquinii had been driven out
exigo	ad eās pecūniās exigendas lēgātōs misimus	we’ve sent legates to collect those funds
exigo	ante exactam hiemem	before the end of the winter
exiguus	fēmina urbem exiguam pretiō posuit	the woman has founded a small city for money
eximo	dissimulationem nox exemerat	the night had removed their deception
existimo	druidum disciplina in Galliam trānslata esse existimatur	it is believed that the teaching of the Druids was brought into Gaul
exitium	in exitium ruere	to rush to one’s destruction
exitus	septem exitus ē domō fēcerat	he had made seven exits out of his home
exitus	catilīna exitum reī pūblicae moliebatur	Catiline was working on the destruction of the republic
expedio	expedior inter flammās et hostem	I make my way through flames and the enemy
expedit	omnibus bonīs expedit salvam esse rem pūblicam	the well-being of the republic is in the best interest of all good men
expello	hostēs fīnibus expulērunt	they have expelled the enemies from their territory
experior	vim veneni in servō experti sunt	they have tested the strength of the poison on a slave
experior	ut frequenter experti sumus	as we have experienced repeatedly
expers	vīs consilii expers	senseless violence
expleo	ultione et sanguine sē explebant	they satisfied themselves with bloody revenge
exploro	apud sē explorabat, an expediret sibi cōnsilium	he was ascertaining by himself whether the advice was useful for him
exploro	mihi exploratissimum est lentulum cōnsulem futūrum	I am absolutely certain that Lentulus will become consul
expono	mīlitēs ex navibus exposuit	he disembarked the soldiers from the ships
expono	rem breviter exposuit	he explained the matter briefly
exprimo	confessionem cruciatu expressērunt	they extracted the confession with torture
exquiro	exquīsīvit numquid scelus commissum esset	he investigated whether a crime had been committed
exsequor	cūr nōn omnēs fātum illīus exsecuti sumus?	why did we all not pursue his fate?
exsequor	exsequi cōnsulis officia et mūnera	to fulfill the duties and tasks of a consul
exsisto	ex hāc nimia licentia exsistit tyrannus	a tyrant arises from this excessive freedom
exspecto	antōnius exspectabat quidnam esset actura	Antonius was waiting to see what she would do
exspecto	multīs dē causīs majōrem galliae mōtum exspectat	for many reasons he was expecting greater rebellion in Gaul
exstinguo	ea quae anteā scripserat, exstinxit	he has destroyed those things, which he had written earlier
externus	domesticis opibus et externīs auxiliis	with native and foreign resources
exterreo	eō aspectū exterrita clāmōrem sustulit	she shrieked, terrified at that sight
exterus	apud exteras nātiōnēs	among foreign peoples
exterus	in extrēmā ferē parte epistulae	nearly at the end of the letter
extollo	altē cruentum ensem extollit	he raised high the bloody sword
extollo	aliquem ad caelum extollere	to extol someone to the sky
fabula	illae fābulae dignae sunt quae iterum legantur	those stories are worth reading repeatedly
facio	aliquem hērēdem facere	to appoint someone as heir
facio	copiam facere dicendi	to give an opportunity for speaking
facio	dubius sum quid faciam	I am not sure what I should do
facies	antequam vesuvius faciem locī verteret	before Vesuvius changed the appearance of the place
facies	faciēs hominī tantum, cēterīs os aut rostra	only humans have faces, the remaining beings have a mouth or a beak
facilis	facilis feminarum credulitas ad gaudia	women easily find delights credible
facinus	magnum et memorābile facinus	a great and memorable deed
facinus	facinus est vincire cīvem rōmānum, scelus verberare	it is a crime to arrest a Roman citizen, an atrocity to beat one
factio	haec inter bonōs amīcitiā est, inter malōs factiō	among good men this is friendship, among bad men, a faction
factum	majōrum benē facta	the brave deeds of our ancestors
fallo	fallit mē	it escapes me
fallo	graecorum ingenia ad fallendum parāta sunt	the Greeks by nature tend toward deception
falsus	falsīs crīminibus eum petivit	he assailed him with false accusations
fama	aliquid fāma accipere	to learn something from a report
fama	illī turpis vīta integra fāma potior fuit	for him a shameful life was preferable to an unsullied reputation
familia	pater familias	master of the household
familia	orgetorix familiam suam coegit	Orgetorix gathered his servants
familiaris	rem familiārem administrāre	to manage personal affairs
familiaris	familiarisne est? immō alienissimus	is he a good friend? On the contrary, a perfect stranger
for	mihi copiam dedērunt fandi	they gave me an opportunity to speak
fas	sīcut jūs fasque est	as is in accordance with human and divine law
fas	sī hoc fās est dīcere	if it is right to say this
fateor	sē id amīcī causā fēcisse fatētur	he admits that he did it for a friend
fatigo	neque īnsomniīs neque labōre fatigabatur	he was tired out neither by insomnia nor toil
fatum	fātum appellō ordinem seriemque causarum	I recognize fate as the order and succession of causes
fauces	Corinthus posita est in faucibus graeciae	Corinth lies at the entrance of Greece
fax	cum ārdentibus facibus ad tiberim decurrērunt	with blazing torches they ran down toward the Tiber
felix	dōnec eris fēlīx, multōs numerabis amīcōs	as long as you are successful, you will have many friends
fera	neque hominī neque ferae parcunt	they spare neither man nor beast
fere	tertia ferē vigiliā	in about the third watch
fere	hominēs ferē libenter id quod volunt credunt	for the most part people gladly believe what they want
ferox	aequorum gēns ferōx	the warlike tribe of the Aequi
ferox	rōbore corporis stolide ferōx	brutishly taking pride in physical strength
fero	quae fors feret, feremus	what chance brings, we shall bear
fero	is amulium rēgem interfecisse fertur	he is said to have killed King Amulius
ferrum	ferrum ictibus duravit	he made the iron hard with blows
ferus	hominēs ferī atque barbarī	savage and uncivilized men
fessus	somnus fessōs artūs complectitur	sleep enfolds their wearied limbs
festino	diēs noctesque festīnāre	to hurry about for days and nights
festus	festus diēs	holiday
fides	fidem majōrem tibi habuī quam paene ipsī mihi	I almost had more faith in you than in myself
fides	exemplum antiquae probitatis et fideī	a model of ancient honesty and reliability
fides	prō vetere ac perpetuā erga populum rōmānum fide	on account of long-standing, uninterrupted loyalty to the Roman people
fides	sē in fidem Populī Rōmānī permisērunt	they surrended themselves into the protection of the Roman people
fio	senatui suasit nē pāx cum poenis fieret	he urged the Senate not to make peace with the Carthaginians
fio	ut fierī solet	as it usually happens
fio	fierī nōn potest, quīn eōs oderim	it is not possible but that I hate them
figo	hunc hastā fīxit	he pierced him with a javelin
figura	in plūrēs trānsīre figūrās	to change into several shapes
filius	fīlium ā morte ēripuit	he rescued his son from death
fingo	alexander ā lysippo fingī volēbat	Alexander wanted his likeness to be made by Lysippus
fingo	ficta loquī	to tell lies
finio	sīc tiberius finivit	thus Tiberius died
finio	senatusconsulto diēbus xxx lūctus est finitus	the period of mourning has been limited to thirty days by a decree of the Senate
finis	incertum est fīnem vītae sponte an fato impleverit	it is uncertain whether he died by suicide or natural causes
finis	haud procul argivorum fine castra posuit	he set up camp not at all far from the Argive border
finis	hostēs fīnibus expulērunt	they have expelled the enemies from their territory
firmus	idem velle atque idem nōlle, ea dēmum est firma amīcitia	to want and not want the same things, this indeed is firm friendship
flagitium	stupra et adulteria et omne tāle flāgitium	debaucheries, adulteries, and every such outrage
flamma	cūnctō concēpit corpore flammam	his entire body caught fire
flavus	arva flava	golden fields
flecto	dēsine fāta deum flectī spērāre precando	stop hoping that the decrees of the gods will be changed by prayer
fleo	amissum frātrem fleo	I lament the loss of my brother
flos	flore aetātis	in the flower of his youth
fluctus	rērum fluctibus in mediīs	in the middle of turbulent affairs
fluo	fluxit in terram remī cruor	the blood of Remus flowed into the ground
flumen	flūmine secundo aut adversō	downstream or upstream
foedus	pācem ac foedera faciāmus	let us make a peace treaty
foedus	foedus veneris	sexual union
foedus	foede periērunt	they have perished in a dreadful manner
folium	spargite humum foliīs	sprinkle the ground with leaves
fons	is fons malī fuit	that was the source of evil
fores	cōnsecūtus est mē usque ad forēs	he followed me all the way to the door
forma	animus mē fert mūtātās dīcere fōrmās	my soul is inclined to speak of changed forms
forma	puer insigni fōrma	a boy of remarkable beauty
formido	stoici definiunt formidinem metum permanentem	The Stoics define ‘terror’ as a permanent fear
fors	quae fors feret, feremus	what chance brings, we shall bear
forte	forte ēvenit ut Rōmae essēmus	it happened by chance that we were in Rome
fortis	fortēs fortūna adiuvat	fortune favors the brave
fortuitus	fortuitos sermōnēs iecit	he made casual remarks
fortuna	heu, fortūna, quis deus tē crūdēlior?	ah, Fortuna, what god is crueler than you?
fortuna	fortūna secunda et adversa	good and bad luck
forum	forum rōmānum	the main public space in Rome
forum	ut prīmum forum attigī	when I first applied myself to public affairs
foveo	rēs alicujus fovere	to support someone
fragilis	fragilem ratem pelagō commisit	he entrusted a flimsy ship to the sea
frango	animōs hostium frangere	to demoralize the enemy
frater	fratris mortem dolet	he lamented the death of his brother
fraus	fraudi imponere aliquam speciem iuris	to impose an appearance of justice upon fraud
fremo	fremunt ventī, fremit mare	the winds howl, the sea roars
fremo	omnēs fremuērunt	all murmured (in agreement or disapproval)
frenum	frēnōs dare equō	to give a horse the reins
frequens	drusi vocatu senātūs frequēns in cūriam venit	the Senate came into the Senate building in great numbers at Drusus’ behest
frequens	erat ille Rōmae frequēns	he was frequently at Rome
fretum	fretum siciliae	the Straits of Messina
frigidus	fons lūce diurna frīgidus et calidus nocturnō tempore	a spring cold by the light of day and warm at night time
frigus	propter frigora frumenta matura nōndum erant	because of the cold the corn was not yet ripe
frons	frondibus laeti collēs	hills rich with vegetation
frons	ā fronte atque ab utrōque latere	from the front and from both sides
fruor	rure fruī	to delight in the country
frumentum	frūmentō exercitum intercludere	to block off an army from their grain supply
frustra	frūstrā magistrātum petēbat	he sought the office in vain
frustra	frūstrā ac sine causā aliquid facere	to do something groundlessly, without reason
frux	fruges in agrīs nōndum mātūrae erant	the produce in the fields was not yet ripe
fuga	sē fugae mandavērunt	they took their chances on flight
fuga	themistoclis fugā et reditus	Themistocles’ exile and return
fugio	fugit tempus	time flies
fulgeo	fulgent in armīs	they shine in their armor
fulmen	ictu fulminis phaethōn periit	Phaethon was slain by a lightning strike
fundo	lacrimās fundere	to shed tears
fundo	exercitum fundere atque fugare	to rout an army and put it to flight
fungor	officiō functus	after he performed the service
funus	post tot fūnera vinco	after so many deaths I am victorious
funus	pūblicō fūnere ēlātus est	he received a public burial
furo	īnsānit atque furit	he is completely mad
furor	scelus ac furor catilīnae	the crime and madness of Catiline
gaudeo	aliquid magnum agere gaudet	he is delighted to do something great
gaudeo	gaude quod spectant oculī tē mīlle loquentem	be pleased that a thousand eyes are watching you while you speak
gaudium	facilis feminarum credulitas ad gaudia	women easily find delights credible
geminus	geminum ēdidit partum	she bore twins
gemitus	dat tellūs gemitum	the earth groaned
gens	gēns iulia	the clan of the Julii
gens	ubi gentium?	where in the world?
genus	nōbilī genere nātī sunt	they are of noble birth
genus	genus hominum mobile et infidum	a fickle and treacherous race of men
gero	quōnam modo geram mē adversus caesarem?	how shall I behave myself in front of Caesar?
gero	bellum gerere	to wage war
gero	rēs gestae	things done, accomplishments
gero	dum haec gēruntur, urbs capta est	while these things were done, the city was captured
gigno	ex hāc maxima lībertāte tyrannis gignitur	as a result of this very great freedom, tyranny arises
glacies	sōl glaciem dissolvit	the sun melts the ice
gladius	gladiō sē ā multitūdine dēfendit	he defended himself against the crowd with a sword
glaeba	terrā antīqua potens armīs atque ubere glaebae	an ancient land powerful due to its arms and the fertility of its soil
gloria	ad posteros glōria durabit	his glory will be preserved for posterity
gradus	omnēs aetātis gradūs recordor tuae	I remember every stage of your life
gramen	prostrati in gramine mollī	lying prostrate on the soft grass
grandis	caesar grandem pecūniam dēbēbat	Caesar was in great debt
gratia	roscius grātia hominum multōrum florebat	Roscius enjoyed the favor of many men
gratia	immortālēs agō tibi grātiās	I give eternal thanks to you
gratia	occīsus est praedae grātia	he was killed in a robbery
gratus	dōnec grātus eram tibi	while I was pleasing to you
gravis	vir gravis	a venerable man
gurges	appārent rārī nantēs in gurgite vastō	here and there swimmers appear in the vast whirlpool
habena	equō immīsit habēnās	he gave the horse the reins
habeo	nihil habeō quod ad tē scrībam	I have nothing to write to you
habeo	scīre cupiō quōmodo rēs sē habeat	I want to know how you are
habeo	perīcula vīlia habēre imperavit	he ordered them to consider dangers insignificant
habito	nōn prope mē, sed paene mēcum habitavit	he did not live near me, but he almost lived with me
habitus	morbus est habitus corporis contrā nātūram	sickness is an unnatural condition of the body
haereo	vōx faucibus haesit	his words caught in his throat
haurio	pectora ferrō hausit	he pierced his chest with a sword
hedera	caput hedera cīnctum	his head encircled by ivy
herba	latet anguis in herbā	a snake lurks in the grass
hiberna	trēs legiōnēs ex hībernīs educit	he leads three legions out from their winter-quarters
hic	hīc, quantum in bellō fortūna possit, cognosci potuit	here one could learn how much chance is a factor in war
hiems	ante exactam hiemem	before the end of the winter
hinc	hinc rōmam profectī sumus	from here we moved on to Rome
hinc	hinc accidit dubitatio	because of this doubt arose
homo	animal providum et sagax est homō	man is a prudent and wise being
honestus	aetoli latrocinari honestum putant	the Aetolians believe that it is honorable to be a bandit
honestus	honesto locō nātus	born of a noble family
honor	medius ex tribus sedēbat, quod apud numidās honōrī ducitur	he sat in the middle of the three, which is said to be an honor among the Numidians
honor	cursus honōrum	a political career
hora	hōrā quārta reliquas legiōnēs mīsit	at the fourth hour he sent the remaining legions
horridus	dīcam horrida bella	I shall speak about terrible wars
hortor	hortātur eōs nē animīs deficiant	he encourages them not to lose heart
hospes	nōn hospes ab hospite tutus erat	the host was not safe from the guest
hostis	fās est et ab hoste doceri	it is right to learn from the enemy as well
huc	hūc accedit quod sulla exercitum luxuriōsē habuerat	add to this that Sulla had handled his army with much extravagance
huiusmodi	huiusmodi verba disseruit	he spoke words of this sort
humanus	humano cultū digniora loca	an area more suitable for human habitation
humanus	scīpiō, homō humanissimus	Scipio, a very cultured man
humilis	humilēs laborant, ubi potentēs dissident	when those in power disagree, the lowly suffer
humus	humī iacebant	they lay on the ground
iacio	corripit hastam et iacit	he snatches the spear and throws it
iacio	fortuitos sermōnēs iecit	he made casual remarks
iacto	inter spem metumque iactari	to hesitate between hope and fear
iacto	genus et proavos iactare	to boast of family and ancestors
iam	iamne abis?	are you going away now?
iam	caedēs indē, nōn jam pugna erat	after that it was no longer a battle, but slaughter
iam	jam faciam quod vultis	now I will do what you want
ibi	ubi nōn sum, ibi est animus	where I am not, there is my spirit
ictus	ictu fulminis phaethōn periit	Phaethon was slain by a lightning strike
idem	vir fortis idemque philosophus	a brave man and at the same time a philosopher
idoneus	perferendīs mīlitum mandātīs idōneus habēbātur	he was considered suitable to carry out the commands of the soldiers
ignarus	ignārus litterarum	unskilled in letters
ignavia	socordiae sēsē atque ignāviae tradidērunt	they gave themselves over to folly and laziness
ignis	rapidus ignis	consuming fire
ille	vergilius, ille summus poēta	Vergil, that most distinguished poet
illustris	nox sīderibus illustris	a night lighted up by stars
illustris	ex familiā vetere et illustri	from an old and distinguished family
imago	imāginēs majōrum	ancestral images
imago	in somnīs inhumātī venit imāgō conjugis	the image of my unburied husband appears in my dreams
imbellis	major exercitus erat, sed imbellior	the army was greater, but less fit for war
imber	tecto imbris vitandi causā successit	he went under the roof the the sake of avoiding the rain
immanis	vastā ac immānis bēlua	a vast and enormous beast
immensus	in marī immenso vehimur	we are borne on the boundless sea
immineo	caelum quod imminet orbi	the sky which hangs over the earth
immineo	imminent duo rēgēs toti asiae	two kings threaten all of Asia
immitto	corpus immīsit in undās	They threw their body into the waves
immitto	equō immīsit habēnās	he gave the horse the reins
immo	familiarisne est? immō alienissimus	is he a good friend? On the contrary, a perfect stranger
immo	simulācra deōrum, immō deī ipsī ablati sunt	the images of the gods, nay rather the gods themselves were stolen
impedimentum	pudor ad dicendum impedimento fuit	sense of shame was an impediment to speaking
impedimentum	ad carros suōs et impedīmenta sē contulērunt	he went back to his own baggage and wagons
impedio	impedītī sunt nē triumphārent invidiā paucōrum	they were hindered from celebrating a triumph by the envy of a few
impedio	aetās nōn impedit quominus litterarum studia teneamus	age does not hinder us from maintaining the study of letters
impello	lēvis aura impulit ratem	a light breeze propelled the craft 
impero	perīcula vīlia habēre imperavit	he ordered them to consider dangers insignificant
impero	caesar suīs imperavit nē tēla reicerent	Caesar commanded his men not to throw back the spears
impero	equitēs cīvitātibus imperavit	he ordered the towns to supply cavalry
imperator	aliae sunt lēgātī partēs atque imperātōris	the duties of a legate are distinct from those of a general 
imperium	sub imperium Populī Rōmānī redacti sunt	they were brought under the command of the Roman people
imperium	esse in imperiō	to be in command
imperium	Ciliciam ad imperium Populī Rōmānī adjūnxit	he added Cilicia to the dominion of the Roman people
impetus	īnfēstīs signīs impetum fēcērunt	with hostile standards they made an attack
impetus	impetū magis quam cōnsiliō	on an impulse more than with deliberation
impleo	implēvit merō pateram	he filled the bowl with unmixed wine
impono	haec super imposuit liquidum aethera	above these things he placed the clear sky
impono	stipendium victōrēs Victīs imponere solent	victores are accustomed to impose tribute on the conquered
impotens	homō impotentissimus, ārdēns ōdiō	a most headstrong man, burning with hate
imprimis	imprimis nōbīs sermo dē tē fuit	we had a conversation about you especially
improbus	improbī hominis est mendacio fallere	it is characteristic of a wicked man to deceive with falsehood
improvisus	hostis improvisus adest	an unforeseen enemy is present
impune	tālia facinora impūne suscepisse parum habuērunt	they did not think it was enough to have undertaken such crimes with impunity
in	in urbe habitāre	to dwell in the city
in	dein capuam pervēnit, in oppidum magnum	then he arrived in Capua, a great town
in	Cicerōnis ōrātiōnēs in Verrem	the orations of Cicero against Verres
inanis	nāvēs inanes ad eum remittebantur	the ships were returned to him empty
inanis	inānia verba	empty words
inanis	homō inanis et regiae superbiae	a vain man and as arrogant as a king
incedo	incedunt per ōra vestra magnificī	they march boastfully before your faces
incedo	cūra patribus incessit	a care befell the fathers
incendo	juventūtem ad facinora incendit	he incites the youth to crimes
incendium	frumentum incendiō corrūpērunt	they destroyed the grain with fire
inceptum	juventūs plēraque catilīnae inceptīs favēbat	a large part of the youth favored Catiline’s undertakings
incido	incīdit in scyllam quī vult vītāre charybdim	he falls upon Scylla who wants to avoid Charybdis
incido	sī quid tibi dūrius incīderit	if anything too hard happens to you
incipio	priusquam incipiās cōnsultō opus est	before you begin there is need of a consultation
incito	multa caesarem ad id bellum incitābant	many things were inciting Caesar toward that war
incolo	Belgae ea loca incolunt	the Belgians inhabit these places
incolumis	incolumes ad ūnum omnēs in castra perveniunt	everyone to a man arrives unharmed into the camp
incolumis	agrippina incolumi	with Agrippina unharmed
incumbo	remīs incubuērunt	they leaned against their oars
incumbo	et animō et opibus in bellum incubuit	he applied himself to the war with both spirit and resources
inde	caedēs indē, nōn jam pugna erat	after that it was no longer a battle, but slaughter
indicium	īnsigne indicium meae erga tē amicitiae	a notable sign of my friendship towards you
indicium	servī indiciō omnēs damnati sunt	the slaves were all condemned by the giving of information
induco	cohortem in mediōs hostēs induxit	he led the cohort into the middle of the enemy army
induco	regni cupiditāte inductus	persuaded by the desire for royal power
iners	tendebat inertes moribundus palmas	dying, he stretched out his sluggish palms
insum	in faciē vultuque insania inerat	madness was present in his face and his expression
infero	mīlitēs ad inferenda in hostēs signa hortabantur	they were encouraging the soldiers to bear the standards against the enemy
infero	maximum terrorem hostibus infērunt	they inflict a great terror on the enemy
inferior	belgae pertinent ad inferiorem partem flūminis rheni	the Belgians extend to the lower part of the river Rhine
inferior	brūtus erat multō īnferior nāvium numerō	Brutus was much inferior in number of ships
infestus	gēns infestissima nōminī rōmānō	a tribe most hostile to the Roman nation
infestus	īnfēstīs signīs impetum fēcērunt	with hostile standards they made an attack
ingenium	graecorum ingenia ad fallendum parāta sunt	the Greeks by nature tend toward deception
ingenium	ennius ingeniō maximus, arte rudis erat	Ennius was the greatest in talent, but he was unpolished in technique
ingens	hannibale profectō Rōmae gaudium ingēns ortum erat	once Hannibal had set off, great joy rose up in Rome
ingredior	C. Gracchus vindicandae frāternae mortis grātia tribunatum ingressus est	Gaius Gracchus took up the office of tribune for the sake of avenging the death of his brother
ingredior	tum pater anchises lacrimīs ingressus obortīs	then father Anchises began with tears having sprung up
inimicus	īnsidiās inimīcō parāvit	he prepared an ambush for the enemy
iniquus	iniquissimo nostrīs locō proelium commīsērunt	they joined battle in a place extremely unfavorable to our men
ineo	novam ratiōnem bellī iniit	he reckoned a new reason for war
initium	Thalēs aquam dīxit esse initium rērum	Thales said that water was the first principle of substances
iniuria	quaero jūre an injūria factum sit	I ask whether it was done justly or unjustly
inopia	sulla inopiā hostium occidendi fīnem fēcit	Sulla made an end of killing because of the indigence of his enemies
inquam	“tunc facinus,” inquit, “memorābile fēcistis.”	Then he said, “you have done a memorable thing.”
insequor	nox īnsecūta perfecit bellum	the night that followed brought the war to an end
insideo	arcem capitōliī īnsidēbant	they were occupying the citadel of the Capitol
insidiae	in silvīs īnsidiās disponunt	they arrange an ambush in the forest
insignis	versibus insignem tē pudet esse meīs	you are ashamed to be prominent in my verses
insignis	puer insigni fōrma	a boy of remarkable beauty
insto	institi ut mihi responderet quis esset	I urged him to tell me who he was
insto	nūllum perīculum nōbīs ab antiocho instat	no danger threatens us from Antiochus
instituo	cōnsulātum l . brūtus īnstituit	Lucius Brutus was appointed to the office of consul
instituo	sallustius senex historias scrībere īnstituit	Sallust resolved to write histories as an old man
instituo	ceres ferrō mortālēs vertere terram īnstituit	Ceres instructed mortals to turn the earth with the plough
institutum	vestem et īnstitūta persica adsumpsit	he adopted the dress and the habits of the Persians
instruo	cōpiās in aciem instruxit	he marshaled troops on the battle line
instruo	satis nōs instruxit ratiōne nātūrā	nature has sufficiently provided us with reason
insula	aditus īnsulae munitus erat mirificis molibus	the entrance of the island was guarded by impressive harbor works 
integer	illī turpis vīta integra fāma potior fuit	for him a shameful life was preferable to an unsullied reputation
integer	mulier aetāte integra	a woman in the flower of her age
intellego	adherbal eō processum esse intellexit ut rēgnum relinquendum esset	Adherbal understood that it had gotten to the point where he had to abandon his kingdom
intendo	omnium oculīs animisque ad pugnam intentīs	with the eyes and hearts of all intent on a fight
inter	erat inter ingentēs montēs oppidum magnum	there was a great town amid the vast mountains
inter	inter spem metumque iactari	to hesitate between hope and fear
inter	quid illī locuti sunt inter sē?	what did they say among themselves?
inter	inter haec jam praemissi erant equitēs	meanwhile, the cavalry had already been sent ahead
interdum	pāx interdum est, pācis fīdūcia numquam	occasionally there is peace, but never assurance of peace
intersum	quid interest inter hominem et bēstiam?	what lies between man and beast?
intersum	funeri nōn interfuit	he did not attend the funeral
intersum	id ego et meā et reipublicae interesse arbitror	I believe this concerns both my own affairs and those of the republic
interficio	omnēs līberōs interficī jussit	he ordered that all the children be killed
interior	galliā interior	the inland region of Gaul
intereo	nōn interīre animās, sed ad aliōs trānsīre credunt	they believe that souls do not die, but pass over to others
interrogo	quō diē nāta esset, interrogata est	she was asked on what day she had been born
intervallum	sine intervallo loquī	to speak without pause
intra	intrā decimum diem quam rōmam vēnerat	within ten days of when he had arrived in Rome
intus	intus trepidāre	to be agitated inside
invado	ingēns terror eōs invāsit	a huge terror fell upon them
invenio	invenimus omnia prōspera evenisse	we found that everything had turned out prosperously 
invideo	fortūna mihi dīvitiās invidet	fortune denies me riches
invidia	invidia in occultō, adūlātiō in apertō erant	ill-will was in hiding, flattery, in the open
